iter	Passed	Remaining
1572	62319	56535
1573	62360	56496
1574	62403	56459
1575	62444	56421
1576	62489	56386
1577	62533	56351
1578	62578	56316
1579	62622	56281
1580	62668	56247
1581	62715	56213
1582	62760	56179
1583	62804	56143
1584	62845	56104
1585	62886	56066
1586	62924	56025
1587	62967	55989
1588	63014	55955
1589	63057	55918
1590	63106	55887
1591	63151	55852
1592	63194	55815
1593	63234	55776
1594	63282	55744
1595	63334	55715
1596	63376	55677
1597	63418	55640
1598	63462	55604
1599	63505	55567
1600	63549	55531
1601	63593	55495
1602	63637	55459
1603	63678	55421
1604	63721	55383
1605	63764	55347
1606	63808	55311
1607	63855	55277
1608	63899	55241
1609	63944	55206
1610	63989	55171
1611	64033	55135
1612	64079	55101
1613	64122	55063
1614	64164	55026
1615	64206	54988
1616	64245	54948
1617	64291	54913
1618	64332	54875
1619	64372	54836
1620	64417	54800
1621	64463	54766
1622	64512	54734
1623	64556	54698
1624	64593	54656
1625	64638	54620
1626	64679	54582
1627	64725	54547
1628	64761	54505
1629	64807	54470
1630	64849	54432
1631	64893	54395
1632	64940	54362
1633	65003	54341
1634	65046	54305
1635	65092	54270
1636	65136	54234
1637	65174	54192
1638	65224	54161
1639	65267	54124
1640	65310	54087
1641	65351	54048
1642	65395	54011
1643	65438	53974
1644	65490	53944
1645	65547	53919
1646	65590	53882
1647	65628	53840
1648	65672	53804
1649	65713	53765
1650	65754	53726
1651	65795	53687
1652	65843	53654
1653	65890	53620
1654	65931	53582
1655	65970	53541
1656	66011	53502
1657	66055	53465
